EC Numbers,Occurrence
3.1.22.4,1
3.4.21.53,4
4.2.1.126,1
3.4.21.12,3
1.14.13.154,1
1.1.99.33,1
2.7.7.87,2
4.2.1.108,1
1.7.99.4,15
3.4.21.107,2
1.1.1.371,1
3.4.21.105,2
4.6.1.12,1
2.7.1.11,2
2.7.1.12,1
2.7.1.15,1
2.7.1.17,2
1.5.3.6,1
1.3.1.12,2
2.7.7.43,1
1.1.5.-,3
2.4.1.248,1
1.14.13.127,1
1.1.5.2,1
1.1.5.3,3
4.2.3.118,1
5.3.1.6,2
2.1.1.72,3
3.1.26.4,2
1.1.3.15,2
2.1.1.77,3
3.1.1.31,3
4.3.2.1,1
4.3.2.2,1
4.3.2.3,5
2.7.7.68,1
1.10.3.14,1
2.8.1.10,1
1.10.3.10,1
2.8.1.12,1
2.8.1.13,1
1.3.1.108,2
2.4.1.301,1
1.17.4.1,3
3.1.4.46,7
2.6.1.62,1
4.1.1.19,1
2.8.1.-,1
1.16.-.-,2
1.16.3.1,1
1.1.1.47,6
2.1.2.11,1
2.8.1.8,1
1.1.1.122,2
3.5.3.12,1
2.8.1.1,4
2.8.1.6,1
2.8.1.7,5
3.6.3.17,8
3.6.3.16,1
4.2.1.22,1
4.2.1.25,3
1.1.-.-,3
2.3.1.41,8
5.1.1.1,2
1.8.7.1,1
5.1.1.3,1
2.7.8.-,1
5.1.1.7,1
2.3.1.168,1
2.3.1.234,1
5.1.1.-,1
2.7.8.7,2
6.3.2.10,1
1.17.1.5,3
4.1.3.16,2
1.8.1.4,1
2.7.7.18,1
1.14.13.24,3
3.2.1.141,1
1.8.1.9,2
1.8.1.8,2
2.4.1.1,1
4.2.1.156,3
1.14.15.11,1
4.2.1.154,1
2.4.1.-,9
2.1.1.226,1
4.2.1.151,1
1.7.-.-,11
2.5.1.48,1
1.4.1.13,3
2.7.8.26,1
2.7.8.23,2
3.6.1.11,2
2.6.1.103,1
1.1.3.6,1
2.7.8.28,1
3.2.-.-,1
5.3.3.2,1
4.2.1.103,1
4.2.1.24,1
2.7.4.22,1
6.5.1.1,3
1.8.5.-,1
2.7.4.25,1
2.1.1.148,2
3.6.3.31,2
1.14.99.49,4
1.1.1.29,1
2.6.1.30,1
2.7.1.49,1
2.5.1.78,1
2.5.1.75,1
2.5.1.77,1
6.5.1.-,1
2.5.1.72,1
2.1.1.193,1
5.3.1.8,1
5.3.1.9,2
2.1.1.44,1
2.6.1.9,1
3.7.1.3,1
3.1.3.23,5
4.1.1.98,1
3.1.3.21,1
5.3.1.1,2
3.5.3.4,1
2.6.1.1,4
3.5.3.6,2
3.5.3.7,1
6.3.1.19,1
2.6.1.-,4
1.1.1.28,1
2.7.1.59,1
5.1.1.17,1
2.4.1.284,1
5.3.1.-,1
2.7.4.8,1
6.3.1.13,2
1.13.11.46,1
6.3.1.15,1
1.2.1.88,1
3.5.1.104,3
2.6.1.100,1
1.2.1.83,2
6.3.3.2,1
1.6.5.12,1
1.6.5.11,23
2.7.1.170,1
6.3.3.1,1
2.1.1.33,1
6.1.1.12,1
1.1.1.53,1
1.7.3.3,1
1.1.1.56,2
2.7.4.6,1
5.1.3.32,2
3.7.1.13,2
5.1.3.30,1
2.7.1.175,2
5.3.99.11,1
1.1.1.276,1
1.14.13.185,6
1.14.13.180,1
1.14.13.182,1
2.7.7.27,2
3.1.26.3,1
4.1.2.4,1
2.7.1.20,1
2.7.1.21,1
6.2.1.3,14
2.7.1.24,1
2.7.1.25,1
1.7.1.4,2
1.14.13.114,2
1.14.13.113,10
1.13.12.3,1
2.1.1.192,1
2.1.1.190,1
2.1.1.197,3
2.7.4.9,2
1.13.12.4,1
1.14.11.-,2
2.1.1.199,1
2.1.1.198,1
2.7.4.1,1
2.7.4.3,1
1.4.1.1,1
1.4.1.2,1
1.4.1.4,1
3.5.4.2,3
2.7.6.3,1
1.13.12.-,1
2.7.6.1,2
2.6.1.16,2
3.5.2.10,1
1.2.1.-,4
3.5.2.12,1
2.6.1.13,1
3.5.2.17,1
2.6.1.11,2
3.5.2.19,2
1.1.1.370,4
4.1.1.31,1
2.6.1.19,1
1.2.1.70,1
1.14.12.17,5
1.2.1.9,1
1.2.1.8,3
1.2.1.4,1
1.2.1.3,3
4.2.1.119,1
1.4.3.3,1
4.2.1.19,1
3.4.16.-,1
5.5.1.2,1
1.4.3.5,4
2.6.1.17,1
4.2.1.10,1
4.2.1.11,2
3.1.4.4,1
3.1.2.-,8
4.2.1.17,8
3.5.1.77,2
3.1.4.-,2
3.6.1.55,2
1.14.14.18,1
3.1.2.6,1
3.4.16.4,11
2.1.1.107,2
1.97.1.4,1
1.4.3.-,3
6.1.1.16,1
2.5.1.7,2
6.1.1.15,1
3.2.1.86,2
1.2.1.41,1
2.4.1.129,1
2.7.2.8,1
5.1.3.9,1
2.6.1.85,2
2.6.1.87,1
4.1.1.65,1
5.1.3.2,4
1.17.1.4,7
5.1.3.1,1
1.1.1.304,1
2.7.2.4,1
1.1.1.306,2
3.3.2.14,1
3.3.2.10,5
2.7.1.90,1
2.7.1.92,1
2.5.1.101,1
3.1.3.68,1
1.1.1.42,1
3.4.14.-,7
2.5.1.18,1
1.3.1.95,1
1.3.1.98,1
4.1.2.9,1
6.3.4.21,2
3.1.6.-,1
2.4.2.14,1
2.4.2.17,1
1.3.99.-,16
3.2.1.37,1
4.1.1.47,1
3.5.4.19,1
1.3.8.3,1
1.3.8.2,1
4.1.1.48,2
2.10.1.1,2
3.5.4.13,2
2.4.2.18,1
1.1.1.94,1
1.1.1.179,1
1.3.8.-,2
3.1.6.1,1
3.4.21.62,5
2.3.1.122,1
1.14.14.3,2
1.14.13.149,1
1.14.99.46,1
3.7.1.22,1
1.14.12.7,1
2.1.3.1,2
5.4.2.6,1
2.1.3.3,1
2.1.3.2,1
2.8.3.22,3
1.14.13.107,1
2.7.1.60,1
2.-.-.-,4
3.5.1.-,9
2.3.1.47,1
2.7.1.165,2
3.1.1.23,1
3.1.1.24,3
2.1.1.-,21
3.1.13.5,1
3.5.1.2,1
1.14.18.1,1
1.17.7.4,1
3.5.1.5,5
2.1.1.255,1
1.1.1.333,1
2.6.1.2,1
2.1.1.315,2
4.4.1.15,1
2.6.1.52,1
2.4.1.315,1
5.3.1.30,1
2.3.1.247,1
6.3.4.18,1
6.3.4.19,1
2.1.1.171,1
2.7.1.180,2
6.3.4.15,2
3.1.4.53,4
3.1.4.52,2
2.4.1.109,1
3.-.-.-,15
3.4.14.5,1
3.5.4.33,1
2.7.1.4,2
3.4.11.24,2
3.9.1.2,1
6.1.2.-,1
1.1.1.136,2
6.1.2.1,1
1.2.5.1,1
3.9.1.-,1
1.1.1.132,1
1.1.1.133,1
2.3.1.94,2
3.4.21.89,3
1.5.1.43,1
1.5.1.42,1
1.14.13.-,6
6.3.2.14,1
6.3.2.17,1
3.6.1.19,2
4.2.1.51,1
6.3.2.13,1
6.3.1.5,1
6.1.1.3,2
3.6.1.17,1
1.2.1.79,4
4.2.1.59,1
3.6.1.13,1
6.3.1.2,4
2.1.1.220,1
2.4.1.161,1
2.1.1.222,2
1.8.4.12,1
6.1.1.1,1
1.8.4.11,1
2.1.1.228,1
4.2.2.12,1
6.3.3.3,1
3.6.4.-,10
1.14.13.209,2
6.3.5.1,1
6.3.5.3,3
6.3.5.2,2
6.3.5.5,2
1.14.13.38,3
6.3.5.7,2
6.3.5.9,2
6.6.1.2,1
1.14.13.33,2
5.4.99.2,4
5.5.1.4,4
1.1.1.344,1
1.2.1.38,1
1.1.1.346,1
1.1.1.340,1
1.1.1.343,2
2.4.1.21,1
6.3.5.-,2
1.2.1.62,1
2.5.1.19,1
5.1.-.-,2
3.4.24.3,1
4.2.1.20,2
2.5.1.10,4
2.5.1.17,2
2.5.1.16,2
3.4.22.-,2
4.2.2.25,1
4.4.1.11,2
5.4.2.10,1
5.4.2.11,2
4.2.2.22,1
3.2.1.78,2
3.4.24.-,15
1.21.98.1,1
1.21.98.2,1
3.2.1.73,2
3.6.3.12,1
2.7.4.16,1
1.14.99.50,1
1.11.1.-,6
1.21.-.-,1
1.4.1.23,1
1.14.14.12,1
4.99.1.3,2
3.6.3.29,1
1.11.1.6,3
1.14.14.11,1
1.14.13.84,1
3.6.3.27,1
2.3.1.57,3
1.11.1.1,1
1.1.1.38,2
2.4.99.17,1
3.1.3.18,3
3.4.17.18,1
3.1.3.16,3
3.4.17.14,1
3.1.3.12,1
3.1.3.11,2
2.5.1.88,1
1.14.11.17,1
2.3.1.9,2
2.3.1.8,1
4.2.2.2,2
3.4.13.22,3
3.3.1.1,2
3.4.13.21,2
4.2.2.9,1
4.2.2.8,1
5.4.2.8,1
4.1.1.15,1
2.4.2.21,2
4.1.1.17,1
1.1.3.46,1
2.3.3.9,1
2.5.1.129,1
2.3.1.-,39
1.1.3.41,1
2.7.8.12,6
2.7.8.13,1
2.5.1.120,1
3.6.3.25,3
3.1.4.3,1
1.5.1.2,2
2.5.1.124,1
2.7.8.5,2
5.1.3.25,1
