EC Numbers,Occurrence
1.1.3.6,5
3.4.21.53,2
1.1.99.37,1
2.5.1.54,2
1.7.99.4,3
3.4.21.107,1
3.4.21.105,1
1.1.3.-,1
4.6.1.12,1
2.7.1.11,2
2.7.1.12,1
2.7.1.15,1
3.1.26.-,1
2.7.1.17,1
1.11.1.10,4
1.3.1.12,1
1.1.5.-,3
1.14.13.127,2
1.1.5.3,3
3.4.21.89,6
5.3.1.6,1
3.1.26.3,1
3.1.26.4,2
3.1.26.5,1
3.1.1.31,1
4.3.2.1,1
4.3.2.2,1
4.3.2.3,2
2.7.7.27,1
1.10.3.14,1
2.8.1.10,1
2.7.1.156,2
2.8.1.12,1
1.1.1.44,1
1.3.1.108,5
1.17.4.1,2
3.1.4.46,2
6.3.4.20,1
2.6.1.62,1
4.1.1.19,2
1.2.-.-,2
1.10.3.-,1
1.16.3.1,4
3.6.-.-,5
2.8.1.8,1
2.8.1.1,6
2.8.1.6,1
2.8.1.7,5
1.2.1.62,1
4.2.1.20,3
4.2.1.22,1
4.2.1.25,1
4.2.1.24,1
2.3.1.41,5
5.1.1.1,1
1.2.1.68,1
5.1.1.3,1
5.1.1.7,1
2.4.2.1,1
6.3.2.17,1
1.8.1.15,1
2.7.8.5,2
2.7.8.7,3
6.3.2.10,1
4.2.3.1,1
1.2.1.70,1
1.8.1.4,3
1.14.13.29,1
2.4.2.7,1
6.3.2.13,1
1.8.1.9,5
2.7.7.12,1
2.4.1.1,1
4.2.1.156,1
1.4.3.16,1
2.4.1.-,12
1.4.1.18,1
4.2.1.150,7
1.4.3.10,1
1.7.-.-,7
1.4.1.13,7
2.7.8.26,1
3.6.1.11,1
2.7.8.28,1
6.3.4.21,1
1.5.3.19,1
3.6.3.34,1
5.3.3.1,4
5.3.3.2,1
5.3.3.4,1
4.2.1.103,1
2.7.4.22,1
6.5.1.1,1
1.14.99.46,2
2.7.4.25,2
2.1.1.148,1
2.7.-.-,7
2.7.4.29,1
2.7.1.49,1
2.5.1.78,2
2.5.1.75,1
2.5.1.74,1
2.5.1.77,1
6.5.1.-,1
2.5.1.72,1
3.5.3.8,1
2.1.1.193,1
5.3.1.8,1
5.3.1.9,1
2.1.1.44,1
2.1.1.45,1
3.1.3.23,1
3.5.3.1,1
3.1.3.21,1
5.3.1.1,1
3.5.3.4,1
2.6.1.1,3
2.6.1.2,1
3.5.3.7,1
6.3.1.19,1
2.6.1.-,3
2.4.1.287,1
2.1.1.197,1
2.4.1.288,2
2.4.1.289,1
2.7.1.50,1
1.2.1.88,1
2.4.99.-,1
3.1.1.72,1
2.4.2.53,1
1.4.1.23,1
1.2.1.86,1
6.3.3.2,1
1.6.5.12,1
1.6.5.11,14
2.7.1.170,1
5.4.1.3,1
2.1.1.33,1
1.1.1.53,4
1.7.3.3,1
2.1.1.199,1
2.3.1.168,1
5.1.3.33,1
3.7.1.17,6
3.7.1.14,1
3.7.1.19,1
3.1.11.6,3
1.14.13.180,1
1.1.1.25,1
4.1.2.4,1
3.3.2.1,2
6.3.5.4,1
1.1.1.311,2
6.3.5.7,1
3.1.1.74,1
5.5.1.19,1
1.4.9.1,1
5.4.3.8,1
2.7.1.24,1
1.7.1.4,1
4.1.3.30,2
6.3.5.9,1
1.14.11.26,1
1.3.1.28,1
1.16.-.-,1
1.14.13.113,2
4.1.2.-,1
1.13.12.3,1
2.1.1.192,1
1.4.1.20,1
2.7.4.9,1
1.1.1.3,1
1.13.12.4,1
2.7.4.6,1
2.1.1.198,1
2.7.4.1,1
2.7.4.3,1
1.4.1.1,1
2.7.4.-,1
1.4.1.3,1
1.4.1.2,3
1.14.99.15,1
2.1.1.226,1
3.5.4.2,1
2.7.6.5,1
2.7.6.3,1
1.13.12.-,4
2.7.6.1,1
2.6.1.16,1
2.6.1.17,1
1.2.1.-,7
3.5.2.12,2
3.5.2.17,1
2.4.2.47,2
1.1.1.370,5
4.1.1.31,1
1.1.1.373,1
1.14.12.17,2
1.1.1.271,2
2.1.2.11,1
1.14.12.13,2
1.2.1.5,1
