EC Numbers,Occurrence
3.1.22.4,1
3.4.21.53,4
2.1.1.230,2
6.3.2.49,1
2.5.1.54,1
1.7.99.4,9
3.1.1.84,2
3.4.21.107,3
3.4.21.105,1
3.5.2.-,1
4.6.1.12,1
3.4.21.100,1
2.7.1.11,2
1.1.1.136,2
2.7.1.12,1
2.7.1.15,1
2.7.1.17,2
1.11.1.10,2
1.3.1.12,1
1.1.5.-,1
1.14.13.127,2
1.1.5.3,3
3.4.21.89,4
2.7.1.175,2
2.1.1.72,2
3.1.26.4,2
1.1.3.15,1
2.1.1.77,1
3.1.1.31,2
4.3.2.1,1
4.3.2.2,1
4.3.2.3,2
2.7.7.27,1
1.10.3.14,1
2.8.1.10,1
2.7.1.156,1
2.8.1.12,1
2.8.1.13,1
2.7.7.8,1
2.4.1.301,1
1.17.4.1,2
1.3.1.103,13
2.6.1.62,1
1.2.-.-,2
1.10.3.-,1
1.16.3.1,2
2.1.1.288,1
2.4.1.109,1
1.1.1.127,1
1.1.1.122,1
2.8.1.1,3
2.8.1.6,1
2.8.1.7,4
3.6.3.17,8
2.3.1.47,2
3.6.3.14,2
4.2.1.25,1
1.1.-.-,2
2.3.1.41,4
5.1.1.1,2
1.8.7.1,1
1.2.1.69,1
2.7.8.-,1
5.1.1.7,1
2.3.1.234,1
4.2.1.20,2
2.7.8.5,3
2.7.8.7,2
3.6.1.19,1
4.1.3.16,1
1.8.1.4,1
4.2.1.11,1
2.7.7.41,1
1.14.13.24,1
3.2.1.141,1
1.8.1.9,3
2.7.7.12,1
2.4.1.1,1
4.2.1.156,1
4.1.1.86,2
4.2.1.154,1
2.4.1.-,6
2.1.1.226,1
4.2.1.150,4
4.2.1.151,2
1.7.-.-,8
1.4.1.13,2
2.3.1.29,1
3.6.3.25,1
2.7.8.23,2
2.7.8.28,1
6.3.4.21,1
6.6.1.1,1
5.3.3.2,1
5.3.3.4,1
6.6.1.2,1
4.2.1.24,1
6.5.1.2,2
6.5.1.1,2
1.14.99.46,1
2.7.4.25,1
3.4.21.12,2
1.13.11.39,1
1.14.99.49,2
2.7.1.48,1
2.7.1.49,1
2.5.1.78,1
2.5.1.75,1
2.5.1.74,1
2.5.1.77,1
6.5.1.-,1
2.5.1.72,1
2.1.1.193,1
5.3.1.8,1
5.3.1.9,2
2.1.1.44,1
2.1.1.45,1
3.7.1.3,1
3.1.3.23,4
4.1.1.98,1
3.1.3.21,1
5.3.1.1,1
5.3.1.6,1
1.1.1.29,1
3.1.3.25,2
3.5.3.7,1
6.3.1.19,1
2.6.1.-,5
2.4.1.280,1
2.6.1.1,2
5.1.1.17,1
2.1.1.197,2
6.3.1.13,1
2.4.1.289,2
6.3.1.15,2
1.3.1.54,1
2.4.2.53,1
1.2.1.83,1
6.3.3.2,1
3.5.3.6,1
6.3.3.1,1
2.1.1.33,1
1.1.1.56,1
2.1.1.199,1
5.1.3.32,1
1.2.7.3,2
3.7.1.17,1
2.8.1.8,1
1.14.13.185,4
1.14.13.180,2
1.4.99.-,1
1.14.13.182,2
6.3.5.4,2
3.1.26.3,1
4.1.2.4,1
2.7.1.20,1
2.7.1.21,1
6.2.1.3,15
2.7.1.24,1
2.7.1.25,1
1.7.1.4,1
1.16.-.-,1
1.14.13.114,1
1.14.13.113,5
1.13.12.3,1
2.1.1.192,1
2.7.4.8,1
2.7.4.9,1
1.13.12.4,1
2.1.1.210,1
2.7.4.6,1
2.1.1.198,1
1.4.1.-,1
2.7.4.1,1
2.7.4.3,1
1.4.1.1,1
1.4.1.2,1
1.4.1.4,1
2.7.6.3,1
1.13.12.-,1
2.7.6.1,1
2.6.1.16,2
2.6.1.17,1
1.2.1.-,4
2.6.1.13,2
2.6.1.11,2
3.5.2.19,2
1.1.1.376,1
1.1.1.370,4
1.1.1.371,1
2.6.1.19,1
1.2.1.70,1
1.14.12.17,2
1.1.1.271,1
1.2.1.8,1
1.2.1.4,1
1.2.1.3,3
1.4.3.3,1
1.2.1.38,1
5.5.1.2,2
1.4.3.5,4
4.2.1.10,1
2.3.1.94,1
2.7.7.18,1
3.1.4.4,1
2.5.1.48,1
4.2.1.17,7
3.5.1.77,1
3.1.4.-,1
3.6.1.55,1
3.1.2.6,1
6.1.1.17,1
3.4.16.4,9
3.1.3.82,1
1.97.1.4,1
1.4.3.-,2
1.14.14.11,1
1.6.99.-,6
6.1.1.15,1
6.3.5.-,2
2.4.1.129,1
3.7.1.8,1
3.7.1.9,2
2.6.1.83,1
2.7.7.65,1
2.6.1.85,1
2.7.7.60,1
1.3.7.9,2
5.1.3.2,8
5.1.3.3,2
5.1.3.1,1
1.1.1.304,1
2.7.2.4,1
1.3.1.86,1
3.3.2.10,4
3.4.14.5,1
2.7.1.92,2
2.7.1.95,1
3.4.14.-,5
2.5.1.18,1
1.3.1.95,1
1.3.1.98,1
3.1.4.46,6
3.4.11.9,1
2.4.2.14,1
3.2.1.31,2
1.3.99.-,15
3.2.1.37,1
2.4.2.10,1
3.5.4.19,1
1.3.8.3,1
1.3.8.2,2
1.14.-.-,4
3.5.4.13,1
2.1.1.174,1
1.1.1.94,1
1.1.1.276,2
1.3.8.-,2
1.14.14.5,2
4.1.1.48,1
3.4.21.62,3
1.1.3.6,1
3.1.2.23,1
1.14.13.149,1
2.8.3.5,2
4.1.2.25,1
2.5.1.15,1
2.1.3.1,1
1.14.14.-,1
2.1.3.3,1
2.1.3.2,1
2.8.3.22,2
2.7.1.60,1
2.-.-.-,4
3.5.1.-,10
1.1.1.81,2
3.1.1.23,1
4.4.1.11,2
3.1.1.24,3
2.1.1.-,11
2.1.1.163,5
3.1.1.29,2
3.2.-.-,1
1.17.7.4,1
3.5.1.4,1
6.3.2.48,2
1.2.1.39,2
1.1.1.333,1
2.6.1.2,1
2.1.1.315,1
2.1.1.316,1
2.6.1.52,1
2.4.1.315,1
5.3.1.30,1
2.4.1.317,1
2.4.1.310,1
2.3.1.247,1
6.3.4.18,1
6.3.4.19,1
2.1.1.171,1
2.7.1.180,1
6.3.4.15,2
3.1.4.53,2
3.1.4.52,1
3.1.3.11,2
3.-.-.-,18
3.5.4.33,1
4.1.99.20,1
2.7.1.4,1
3.4.11.24,1
3.9.1.2,1
6.1.2.-,1
1.5.1.49,2
2.7.2.8,1
1.2.5.1,1
3.9.1.-,1
1.1.1.132,1
1.1.1.133,1
4.1.99.3,1
1.5.1.43,1
2.3.1.178,1
6.1.1.5,1
6.3.2.17,1
6.3.2.10,1
4.2.1.51,1
6.3.2.13,1
6.1.1.3,1
3.6.1.17,1
1.2.1.79,3
3.6.1.13,1
6.3.1.2,3
6.3.1.-,1
2.1.1.220,1
2.4.1.161,1
2.1.1.222,2
1.8.4.12,1
6.1.1.1,1
1.8.4.11,1
2.1.1.228,1
6.3.3.5,1
6.3.3.3,1
3.6.4.-,8
1.14.13.209,1
1.1.1.292,1
6.3.5.1,1
3.6.3.3,1
6.3.5.3,3
6.3.5.2,1
6.3.5.5,2
1.14.13.38,5
6.3.5.7,2
6.3.5.9,2
4.1.2.56,1
1.4.3.21,1
2.7.2.11,1
1.14.13.33,3
5.4.99.2,3
5.5.1.4,1
1.1.1.344,1
1.1.1.346,1
1.1.1.343,2
2.4.1.21,1
2.4.1.25,1
1.2.1.62,1
2.5.1.19,1
5.1.-.-,2
2.10.1.1,2
2.5.1.10,4
2.5.1.17,2
2.5.1.16,1
3.4.22.-,2
4.2.1.22,1
5.4.2.10,1
5.4.2.11,2
4.4.1.15,1
3.4.24.-,9
1.21.98.1,1
3.2.1.73,2
1.2.1.67,2
2.7.4.16,1
1.14.99.50,1
1.11.1.-,3
1.14.14.12,1
3.2.1.132,2
5.1.1.3,1
3.6.3.29,1
1.14.14.10,1
2.5.1.88,1
2.3.1.54,1
2.3.1.57,2
1.11.1.1,1
1.1.1.38,2
2.4.99.17,1
3.1.3.18,2
1.1.1.30,1
2.1.2.11,1
3.1.3.12,1
1.1.1.37,1
1.11.1.6,2
6.1.1.23,1
2.3.1.182,1
4.1.1.19,1
2.3.1.8,1
2.4.2.28,1
3.3.1.1,1
4.1.99.14,1
4.1.1.11,1
5.4.2.8,1
4.1.1.15,1
2.4.2.21,2
3.6.3.27,1
1.1.3.46,1
2.3.3.9,1
2.5.1.129,1
2.3.1.-,28
1.1.3.41,1
2.7.8.12,2
2.7.8.13,1
1.1.1.47,2
2.7.8.11,1
3.1.4.3,2
1.5.1.2,1
1.1.1.42,1
2.5.1.3,1
4.2.1.149,2
1.14.11.40,2
2.7.2.3,1
2.3.3.16,2
2.3.1.117,1
2.3.1.111,1
2.7.13.3,65
2.8.4.3,1
2.8.4.2,1
1.1.2.-,1
2.8.4.4,1
2.7.1.39,1
3.5.99.6,1
2.4.1.227,1
5.4.99.62,1
2.7.1.31,1
5.4.99.61,1
1.3.99.29,1
1.13.11.80,1
3.1.3.16,2
3.1.1.10,1
1.14.13.106,1
1.14.13.107,4
3.1.1.15,1
3.5.99.-,1
2.4.1.10,1
2.4.1.11,1
1.10.9.1,2
