EC Numbers,Occurrence
EC 2.6.1.81,1
EC 1.8.4.11,2
EC 3.4.23.36,2
EC 2.6.1.57,2
EC 1.8.4.12,1
EC 2.6.1.52,1
EC 1.4.1.9,2
EC 1.1.1.93,1
EC 1.1.1.95,5
EC 1.1.1.94,1
EC 1.4.1.2,1
EC 1.4.1.4,1
EC 6.1.1.14,2
EC 2.1.1.80,3
EC 2.5.1.18,7
EC 2.7.4.16,1
EC 6.3.4.5,1
EC 2.5.1.15,1
EC 2.5.1.16,2
EC 2.5.1.17,2
EC 6.3.4.2,1
EC 2.7.1.71,1
EC 6.1.1.11,1
EC 4.3.3.7,1
EC 2.3.1.51,4
EC 6.2.1.5,2
EC 3.5.4.25,1
EC 6.2.1.1,3
EC 6.2.1.3,4
EC 3.6.1.31,1
EC 3.4.19.5,1
EC 1.2.1.10,1
EC 1.2.1.11,3
EC 1.2.1.12,2
EC 1.2.1.13,1
EC 6.4.1.2,2
EC 6.4.1.1,2
EC 6.4.1.4,4
EC 2.7.1.30,1
EC 2.1.1.13,1
EC 2.1.1.14,1
EC 2.4.2.22,1
EC 4.2.1.68,1
EC 4.2.1.60,1
EC 1.3.99.22,1
EC 1.-.-.-,6
EC 4.1.2.48,2
EC 3.5.1.68,1
EC 1.1.1.79,1
EC 2.6.1.16,1
EC 2.7.1.130,1
EC 2.7.7.60,1
EC 2.7.7.62,1
EC 1.1.1.76,1
EC 3.5.1.88,2
EC 4.2.1.40,1
EC 2.4.2.28,1
EC 1.17.4.1,2
EC 4.1.3.27,2
EC 4.1.2.13,1
EC 3.5.1.108,1
EC 3.1.4.14,1
EC 4.1.1.-,2
EC 3.5.99.7,1
EC 3.1.4.17,1
EC 1.8.4.8,1
EC 2.8.1.-,1
EC 4.-.-.-,1
EC 6.1.1.21,1
EC 6.1.1.20,2
EC 4.3.1.3,1
EC 4.2.1.96,1
EC 3.5.1.11,2
EC 3.5.1.10,2
EC 3.5.1.16,1
EC 6.3.4.4,1
EC 2.8.1.1,3
EC 3.5.1.18,1
EC 2.8.1.7,3
EC 2.8.1.6,1
EC 4.2.1.12,1
EC 1.2.1.2,1
EC 1.2.1.3,5
EC 1.2.1.8,1
EC 2.3.1.30,2
EC 1.1.2.4,2
EC 1.4.3.5,1
EC 3.4.11.18,2
EC 3.4.11.19,1
EC 3.1.1.17,1
EC 3.5.3.11,1
EC 2.7.1.39,1
EC 3.5.3.13,1
EC 3.5.3.12,1
EC 4.1.3.6,2
EC 2.7.1.35,1
EC 4.1.3.4,2
EC 3.5.3.19,1
EC 2.7.1.31,2
EC 4.1.1.77,1
EC 6.3.2.9,1
EC 4.1.3.-,1
EC 6.3.2.3,1
EC 6.3.2.2,1
EC 6.3.2.1,1
EC 6.3.2.6,1
EC 6.3.2.4,1
EC 3.1.3.18,2
EC 1.9.3.1,12
EC 3.1.3.11,1
EC 3.1.3.10,1
EC 3.4.13.19,1
EC 5.5.1.1,1
EC 5.4.99.5,1
EC 2.7.9.2,1
EC 2.7.9.3,1
EC 3.5.3.23,1
EC 1.14.13.-,7
EC 1.14.19.1,1
EC 2.6.1.18,3
EC 2.5.1.61,1
EC 2.1.1.51,2
EC 2.1.1.52,1
EC 2.7.1.26,1
EC 2.6.1.11,1
EC 4.3.1.7,3
EC 3.2.1.B3,1
EC 3.4.25.-,1
EC 2.6.1.17,1
EC 4.3.1.1,1
EC 2.6.99.2,1
EC 1.1.1.205,1
EC 2.3.1.61,1
EC 2.7.7.38,1
EC 2.7.1.22,1
EC 4.1.3.1,1
EC 4.2.1.24,1
EC 4.2.1.25,1
EC 4.2.1.20,2
EC 2.1.1.207,1
EC 1.3.1.76,1
EC 1.13.11.54,1
EC 6.3.1.10,1
EC 2.3.1.179,1
EC 5.4.2.10,1
EC 1.1.1.31,1
EC 1.1.1.30,1
EC 3.4.24.70,2
EC 2.3.1.191,1
EC 2.7.1.15,1
EC 2.7.1.2,1
EC 4.1.2.50,1
EC 5.3.1.22,1
EC 5.3.1.23,1
EC 5.3.1.24,1
EC 1.8.2.-,1
