dataX,dataY,dataZ,bmus
  -2.6842,   0.32661,  -0.021512, 11
  -2.7154,  -0.16956,   -0.20352,  7
  -2.8898,  -0.13735,   0.024709, 12
  -2.7464,  -0.31112,   0.037672,  7
  -2.7286,   0.33392,    0.09623, 11
  -2.2799,   0.74778,    0.17433,  4
  -2.8209, -0.082105,    0.26425, 12
  -2.6265,   0.17041,  -0.015802,  6
   -2.888,   -0.5708,   0.027335,  7
  -2.6738,  -0.10669,   -0.19153,  7
  -2.5065,   0.65194,  -0.069275,  4
  -2.6131,  0.021521,    0.10765, 12
  -2.7874,  -0.22774,   -0.20033,  7
  -3.2252,  -0.50328,   0.068414,  7
  -2.6435,    1.1862,   -0.14451,  4
  -2.3839,    1.3448,    0.28373,  4
  -2.6225,   0.81809,    0.14532,  4
  -2.6483,   0.31914,   0.033394, 11
  -2.1991,   0.87924,   -0.11452,  4
  -2.5873,   0.52047,    0.21957, 10
  -2.3105,   0.39787,    -0.2337,  3
  -2.5432,   0.44003,    0.21484, 10
  -3.2159,   0.14162,    0.29962, 12
  -2.3031,   0.10552,    0.04568, 17
  -2.3562,  -0.03121,    0.12941, 18
  -2.5079,  -0.13906,   -0.24712, 13
  -2.4691,   0.13789,    0.10126, 17
  -2.5624,   0.37468,  -0.072359,  5
  -2.6398,   0.31929,   -0.13925, 11
  -2.6328,  -0.19008,   0.046466,  7
  -2.5885,  -0.19739,  -0.071275, 13
  -2.4101,   0.41808,   -0.13839,  9
  -2.6476,   0.81998,    0.23059,  4
  -2.5972,       1.1,    0.16358,  4
  -2.6738,  -0.10669,   -0.19153,  7
   -2.867,  0.077193,   -0.15684, 12
  -2.6252,    0.6068,   -0.26116,  4
  -2.6738,  -0.10669,   -0.19153,  7
  -2.9818,  -0.48025,   0.079725,  7
  -2.5903,   0.23606,  -0.073901,  6
  -2.7701,   0.27106,   0.084242, 11
  -2.8522,  -0.93287,   -0.34096,  7
  -2.9983,  -0.33431,    0.19901,  7
  -2.4055,   0.19592,    0.27072, 17
  -2.2088,    0.4427,    0.30349,  4
  -2.7157,  -0.24268,  -0.090516,  7
  -2.5376,   0.51037,    0.17192,  5
