reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
10.02999973,C1,S1,0.0209,9,20150129_OAN_FLOW_016#7#300#10,27.66704655,300,20150129_OAN_FLOW_016,OAN-KNP00171,0.4,KNP,1994009.667,0,29.92833328,0,,,,,0,640.0100098,,,,,,,,,,,,,,,,
10.44999981,C1,S2,0.0191,2,20150129_OAN_FLOW_016#8#300#10,27.74535275,300.0100098,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,2021234.167,0,29.97833347,1,,,,,0,640.0100098,,,,,,,,,,,,,,,,
10.13000011,C2,S3,0.0148,5,20150129_OAN_FLOW_016#10#300#10,27.90196196,300,20150129_OAN_FLOW_016,OAN-DFK00391,0.7,DFK,2002583,0,30.12666639,0,,,,,0,640.0200195,,,,,,,,,,,,,,,,
10.43999958,C2,S3,0.0268,9,20150129_OAN_FLOW_016#11#300#10,27.98026562,300.0100098,20150129_OAN_FLOW_016,OAN-DFK00390,0.7,DFK,2071365.167,0,30.08999952,0,,,,,0,639.9850057,,,,,,,,,,,,,,,,
10.19999981,C2,S3,0.0024,9,20150129_OAN_FLOW_016#12#300#10,26.90529328,300,20150129_OAN_FLOW_016,OAN-DFK00387,0.7,DFK,1959092.2,0,30.09399986,0,,,,,0,640,,,,,,,,,,,,,,,,
10.19999981,C2,S1,0.0162,5,20150129_OAN_FLOW_016#13#300#10,28.13687388,299.9899902,20150129_OAN_FLOW_016,OAN-DFK00425,0.4,DFK,2187201.667,0,30.01333364,0,,,,,0,639.9900004,,,,,,,,,,,,,,,,
10.18999958,C1,S3,0.0174,10,20150129_OAN_FLOW_016#14#300#10,26.29305038,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00123,1,KNP,2051675.2,0.3333,30.0279995,0.3333,,,,,0,640.0060059,,,,,,,,,,,,,,,,
10.32999992,C1,S1,0.0133,5,20150129_OAN_FLOW_016#15#300#10,26.3713562,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00159,0.4,KNP,2017030.8,0.5,29.91999969,0,,,,,0,639.9759888,,,,,,,,,,,,,,,,
10.22000027,C1,S4,0.0149,9,20150129_OAN_FLOW_016#16#300#10,26.44966049,299.9899902,20150129_OAN_FLOW_016,OAN-KNP00143,0.7,KNP,2061822,0,29.8279995,0,,,,,0,640.0059937,,,,,,,,,,,,,,,,
10.43000031,C1,S4,0.0126,9,20150129_OAN_FLOW_016#17#300#10,26.52796478,300,20150129_OAN_FLOW_016,OAN-KNP00147,0.7,KNP,1990629.6,0,30.09399986,0,,,,,0,640.0180054,,,,,,,,,,,,,,,,
