RunName.reactor,SampleTimeID,RunName,Reactor,CatalystID,origin,support,catalyst,ActualTempBlock,reactorPressure,ratioCat2support,ratioPromTot2cat,p1,p2,p3,p4,p5,p6,p7,mass,CatalystBedLength,reductionTemp,meanConvCorrected,sdConvCorrected,ArgonArea,H2flow110,N2flow120,Arflow130,COflow140,CO2H2flow150,flow160,flow170,flow180,diluentN2flow300,ElapsedRunTime
20150129_OAN_FLOW_016#7#300#10,38978,20150129_OAN_FLOW_016,7,OAN-KNP00171,KNP,S1,C1,300,10.02999973,9,0.4,0,0,0,1,0,0,0,0.0209,1.3,85.00500107,0,0,1994009.667,90.0049998,29.92833328,19.98666668,0,0,0,0,0,640.0100098,27.66704655
20150129_OAN_FLOW_016#8#300#10,38979,20150129_OAN_FLOW_016,8,OAN-FIS00002,FIS,S2,C1,300.0100098,10.44999981,2,0.9,0,1,0,0,0,0,0,0.0191,1.4,84.98000336,0,0,2021234.167,90.00999959,29.97833347,19.888333,0,0,0,0,0,640.0100098,27.74535275
20150129_OAN_FLOW_016#10#300#10,38981,20150129_OAN_FLOW_016,10,OAN-DFK00391,DFK,S3,C2,300,10.13000011,5,0.7,0,0,0,0,0,1,0,0.0148,1.6,85.00500107,0,0,2002583,89.99000041,30.12666639,19.91666667,0,0,0,0,0,640.0200195,27.90196196
20150129_OAN_FLOW_016#11#300#10,38982,20150129_OAN_FLOW_016,11,OAN-DFK00390,DFK,S3,C2,300.0100098,10.43999958,9,0.7,0,0,0,0,0,0,1,0.0268,1.1,85.01000214,0,0,2071365.167,90.01999919,30.08999952,19.99000009,0,0,0,0,0,639.9850057,27.98026562
20150129_OAN_FLOW_016#12#300#10,38983,20150129_OAN_FLOW_016,12,OAN-DFK00387,DFK,S3,C2,300,10.19999981,9,0.7,0,0,0,1,0,0,0,0.0024,1,85.00999832,0,0,1959092.2,89.98200073,30.09399986,20.02200012,0,0,0,0,0,640,26.90529328
20150129_OAN_FLOW_016#13#300#10,38984,20150129_OAN_FLOW_016,13,OAN-DFK00425,DFK,S1,C2,299.9899902,10.19999981,5,0.4,0,0,0,0,0,0,1,0.0162,1.1,84.98500061,0,0,2187201.667,89.99000041,30.01333364,19.93999958,0,0,0,0,0,639.9900004,28.13687388
20150129_OAN_FLOW_016#14#300#10,38985,20150129_OAN_FLOW_016,14,OAN-KNP00123,KNP,S3,C1,299.9899902,10.18999958,10,1,0.3333,0.3333,0.3333,0,0,0,0,0.0174,1.1,84.99499893,0,0,2051675.2,90,30.0279995,19.95400009,0,0,0,0,0,640.0060059,26.29305038
20150129_OAN_FLOW_016#15#300#10,38986,20150129_OAN_FLOW_016,15,OAN-KNP00159,KNP,S1,C1,299.9899902,10.32999992,5,0.4,0.5,0,0,0,0.5,0,0,0.0133,1.7,85.00500107,0,0,2017030.8,90,29.91999969,19.93600006,0,0,0,0,0,639.9759888,26.3713562
20150129_OAN_FLOW_016#16#300#10,38987,20150129_OAN_FLOW_016,16,OAN-KNP00143,KNP,S4,C1,299.9899902,10.22000027,9,0.7,0,0,0,0,0,1,0,0.0149,1.2,84.99000168,0,0,2061822,89.98800049,29.8279995,20.02200012,0,0,0,0,0,640.0059937,26.44966049
20150129_OAN_FLOW_016#17#300#10,38988,20150129_OAN_FLOW_016,17,OAN-KNP00147,KNP,S4,C1,300,10.43000031,9,0.7,0,0,0,0,1,0,0,0.0126,1,120.0200005,0,0,1990629.6,89.99400024,30.09399986,20.11000023,0,0,0,0,0,640.0180054,26.52796478
