Color,Label,DomPorColor,MaxPorColor,VoidFracgtioColor,Surface_graColor,Surface_voColor,Hitblue,Hitred
#DAFF4D,blue(5131)&nbsp;red(421),#000000,#000000,#000000,#000000,#000000,5131,421
#E7FF4D,blue(775)&nbsp;red(71),#030303,#030303,#111111,#080808,#1F1F1F,775,71
#FFF94D,blue(822)&nbsp;red(58),#0C0C0C,#0C0C0C,#383838,#202020,#5D5D5D,822,58
#FFE14D,blue(1035)&nbsp;red(70),#151515,#151515,#535353,#333333,#838383,1035,70
#FFCE4D,blue(877)&nbsp;red(37),#1B1B1B,#1A1A1A,#606060,#3D3D3D,#989898,877,37
#FFC64D,blue(843)&nbsp;red(59),#1F1F1F,#1C1C1C,#686868,#454545,#A7A7A7,843,59
#FFB64D,blue(766)&nbsp;red(35),#222222,#1E1E1E,#6E6E6E,#4D4D4D,#B6B6B6,766,35
#FFA34D,blue(731)&nbsp;red(33),#222222,#1F1F1F,#737373,#545454,#C5C5C5,731,33
#FF934D,blue(717)&nbsp;red(26),#222222,#1F1F1F,#777777,#5D5D5D,#D7D7D7,717,26
#FF754D,blue(547)&nbsp;red(13),#222222,#1E1E1E,#7A7A7A,#646464,#E7E7E7,547,13
#E2FF4D,blue(601)&nbsp;red(72),#050505,#050505,#0B0B0B,#050505,#121212,601,72
#F7FF4D,blue(596)&nbsp;red(41),#0C0C0C,#0C0C0C,#2B2B2B,#161616,#444444,596,41
#FFE64D,blue(641)&nbsp;red(41),#191919,#181818,#505050,#2E2E2E,#777777,641,41
#FFD94D,blue(342)&nbsp;red(20),#202020,#1D1D1D,#626262,#3B3B3B,#909090,342,20
#FFC64D,blue(249)&nbsp;red(21),#242424,#202020,#6C6C6C,#444444,#A1A1A1,249,21
#FFB64D,blue(228)&nbsp;red(10),#262626,#222222,#747474,#4D4D4D,#B0B0B0,228,10
#FFA34D,blue(215)&nbsp;red(5),#272727,#242424,#787878,#555555,#BFBFBF,215,5
#FF934D,blue(238)&nbsp;red(4),#262626,#242424,#7C7C7C,#5E5E5E,#D0D0D0,238,4
#FF724D,blue(276)&nbsp;red(5),#252525,#222222,#7F7F7F,#686868,#E4E4E4,276,5
#FF6D4D,blue(632)&nbsp;red(24),#252525,#212121,#818181,#6E6E6E,#F0F0F0,632,24
#E7FF4D,blue(497)&nbsp;red(27),#151515,#131313,#151515,#080808,#1C1C1C,497,27
#F7FF4D,blue(1033)&nbsp;red(90),#1C1C1C,#1A1A1A,#2E2E2E,#151515,#3F3F3F,1033,90
#FFEC4D,blue(458)&nbsp;red(49),#252525,#202020,#545454,#2C2C2C,#6F6F6F,458,49
#FFD64D,blue(253)&nbsp;red(7),#292929,#252525,#6B6B6B,#3C3C3C,#8C8C8C,253,7
#FFC34D,blue(259)&nbsp;red(13),#2C2C2C,#282828,#777777,#464646,#9E9E9E,259,13
#FFB34D,blue(294)&nbsp;red(15),#2E2E2E,#2A2A2A,#7F7F7F,#505050,#ADADAD,294,15
#FFA04D,blue(335)&nbsp;red(11),#2F2F2F,#2C2C2C,#838383,#595959,#BBBBBB,335,11
#FF8D4D,blue(332)&nbsp;red(16),#2F2F2F,#2D2D2D,#878787,#626262,#CBCBCB,332,16
#FF674D,blue(267)&nbsp;red(7),#2D2D2D,#2B2B2B,#898989,#6E6E6E,#E0E0E0,267,7
#FF4DBE,blue(715)&nbsp;red(20),#2A2A2A,#282828,#8B8B8B,#767676,#F1F1F1,715,20
#FFFF4D,blue(737)&nbsp;red(41),#333333,#2D2D2D,#424242,#1D1D1D,#505050,737,41
#FFE94D,blue(42)&nbsp;red(1),#343434,#2F2F2F,#5D5D5D,#2D2D2D,#6E6E6E,42,1
#FFD34D,blue(142)&nbsp;red(12),#353535,#303030,#747474,#3F3F3F,#8A8A8A,142,12
#FFC14D,blue(244)&nbsp;red(7),#373737,#323232,#818181,#4A4A4A,#9C9C9C,244,7
#FFAE4D,blue(273)&nbsp;red(8),#383838,#343434,#898989,#545454,#ACACAC,273,8
#FF9B4D,blue(279)&nbsp;red(13),#393939,#363636,#8E8E8E,#5E5E5E,#BABABA,279,13
#FF824D,blue(309)&nbsp;red(17),#393939,#373737,#919191,#676767,#C8C8C8,309,17
#FF624D,blue(278)&nbsp;red(12),#373737,#353535,#939393,#727272,#D9D9D9,278,12
#FF4DC6,blue(384)&nbsp;red(14),#323232,#313131,#949494,#7D7D7D,#EEEEEE,384,14
#FF4DCB,blue(818)&nbsp;red(28),#2F2F2F,#2D2D2D,#959595,#838383,#FAFAFA,818,28
#FFF64D,blue(843)&nbsp;red(41),#464646,#404040,#555555,#242424,#595959,843,41
#FFE94D,blue(420)&nbsp;red(33),#454545,#3F3F3F,#636363,#2F2F2F,#6C6C6C,420,33
#FFD34D,blue(186)&nbsp;red(13),#424242,#3D3D3D,#787878,#404040,#878787,186,13
#FFBE4D,blue(262)&nbsp;red(9),#424242,#3D3D3D,#878787,#4E4E4E,#9B9B9B,262,9
#FFAB4D,blue(267)&nbsp;red(16),#424242,#3E3E3E,#909090,#585858,#AAAAAA,267,16
#FF884D,blue(321)&nbsp;red(11),#434343,#3F3F3F,#969696,#626262,#B8B8B8,321,11
#FF804D,blue(354)&nbsp;red(12),#424242,#3F3F3F,#989898,#6B6B6B,#C6C6C6,354,12
#FF624D,blue(277)&nbsp;red(10),#404040,#3E3E3E,#9A9A9A,#747474,#D4D4D4,277,10
#FF4DD1,blue(242)&nbsp;red(4),#3B3B3B,#3A3A3A,#9B9B9B,#818181,#E8E8E8,242,4
#FF4DEE,blue(687)&nbsp;red(16),#363636,#353535,#9C9C9C,#8B8B8B,#F9F9F9,687,16
#9CFF4D,blue(661)&nbsp;red(37),#575757,#515151,#727272,#353535,#6E6E6E,661,37
#8BFF4D,blue(268)&nbsp;red(12),#545454,#4E4E4E,#7F7F7F,#424242,#838383,268,12
#79FF4D,blue(362)&nbsp;red(18),#515151,#4B4B4B,#8F8F8F,#525252,#9A9A9A,362,18
