dataX,dataY,dataZ,bmus
  -2.6842,   0.32661,  -0.021512, 41
  -2.7154,  -0.16956,   -0.20352, 12
  -2.8898,  -0.13735,   0.024709, 32
  -2.7464,  -0.31112,   0.037672, 12
  -2.7286,   0.33392,    0.09623, 41
  -2.2799,   0.74778,    0.17433, 39
  -2.8209, -0.082105,    0.26425, 32
  -2.6265,   0.17041,  -0.015802, 21
   -2.888,   -0.5708,   0.027335, 12
  -2.6738,  -0.10669,   -0.19153, 12
  -2.5065,   0.65194,  -0.069275, 39
  -2.6131,  0.021521,    0.10765, 32
  -2.7874,  -0.22774,   -0.20033, 12
  -3.2252,  -0.50328,   0.068414, 12
  -2.6435,    1.1862,   -0.14451, 39
  -2.3839,    1.3448,    0.28373, 39
  -2.6225,   0.81809,    0.14532, 39
  -2.6483,   0.31914,   0.033394, 41
  -2.1991,   0.87924,   -0.11452, 39
  -2.5873,   0.52047,    0.21957, 50
  -2.3105,   0.39787,    -0.2337, 48
  -2.5432,   0.44003,    0.21484, 50
  -3.2159,   0.14162,    0.29962, 32
  -2.3031,   0.10552,    0.04568, 52
  -2.3562,  -0.03121,    0.12941, 43
  -2.5079,  -0.13906,   -0.24712, 23
  -2.4691,   0.13789,    0.10126, 52
  -2.5624,   0.37468,  -0.072359, 30
  -2.6398,   0.31929,   -0.13925, 41
  -2.6328,  -0.19008,   0.046466, 12
  -2.5885,  -0.19739,  -0.071275, 23
  -2.4101,   0.41808,   -0.13839, 59
  -2.6476,   0.81998,    0.23059, 39
  -2.5972,       1.1,    0.16358, 39
  -2.6738,  -0.10669,   -0.19153, 12
   -2.867,  0.077193,   -0.15684, 32
  -2.6252,    0.6068,   -0.26116, 39
  -2.6738,  -0.10669,   -0.19153, 12
  -2.9818,  -0.48025,   0.079725, 12
  -2.5903,   0.23606,  -0.073901, 21
  -2.7701,   0.27106,   0.084242, 41
  -2.8522,  -0.93287,   -0.34096, 12
  -2.9983,  -0.33431,    0.19901, 12
  -2.4055,   0.19592,    0.27072, 52
  -2.2088,    0.4427,    0.30349, 39
  -2.7157,  -0.24268,  -0.090516, 12
  -2.5376,   0.51037,    0.17192, 30
  -2.8403,  -0.22058,   0.090061, 12
  -2.5427,   0.58628,  -0.011175, 30
  -2.7039,   0.11501,  -0.082696, 21
   1.2848,   0.68544,   -0.40613, 28
  0.93241,    0.3192,   -0.01713, 28
   1.4641,   0.50419,   -0.33826, 26
  0.18097,   -0.8256,   -0.17708, 36
   1.0871,   0.07539,   -0.30654, 40
  0.64044,  -0.41732,   0.041189, 65
   1.0952,   0.28389,    0.17002, 19
 -0.75147,   -1.0011,   0.015672, 25
   1.0433,   0.22896,   -0.41481, 28
 -0.01019,  -0.72057,    0.28344, 36
 -0.51109,   -1.2625,   -0.26649, 25
   0.5111,  -0.10228,    0.13233,  9
  0.26234,  -0.54789,   -0.69194, 27
  0.98404,  -0.12436,  -0.062157, 29
 -0.17486,  -0.25182,   0.093659, 16
  0.92757,   0.46824,   -0.31323, 28
  0.65959,  -0.35198,    0.32838, 65
  0.23454,  -0.33192,   -0.27028, 27
  0.94236,  -0.54182,   -0.49735, 38
 0.043246,  -0.58149,   -0.23296, 36
   1.1162, -0.084214,    0.45984,  2
  0.35679, -0.066824,   -0.22747, 18
   1.2965,  -0.32756,   -0.34751, 49
   0.9205,  -0.18239,   -0.23161, 29
  0.71401,   0.15038,   -0.32037, 29
  0.89964,   0.32961,   -0.31477, 28
    1.331,   0.24467,   -0.52124, 40
   1.5574,   0.26739,   -0.16464, 26
  0.81246,  -0.16233,   0.036344, 20
 -0.30733,  -0.36509,   -0.31534, 16
-0.070343,  -0.70254,   -0.24176, 36
 -0.19188,  -0.67749,   -0.30392, 25
  0.13499,  -0.31171,   -0.17497, 27
   1.3787,  -0.42121,    0.01548, 58
  0.58727,  -0.48328,    0.44458, 65
  0.80721,   0.19505,    0.38946, 20
   1.2204,   0.40804,   -0.23657, 28
  0.81287,  -0.37068,   -0.61287, 38
   0.2452,  -0.26673,    0.18956, 65
  0.16451,  -0.67966,  -0.057799, 36
  0.46303,  -0.66953,  -0.024054, 45
  0.89016, -0.033812,  -0.009768, 29
  0.22888,  -0.40226,   -0.22736, 27
 -0.70708,   -1.0084,   -0.10207, 25
  0.35553,  -0.50322,   0.017889, 45
  0.33113,  -0.21118,   0.083809, 65
  0.37524,  -0.29162,   0.079073, 65
  0.64169,  0.019071,   -0.20417, 29
 -0.90846,  -0.75157, -0.0077366, 34
  0.29781,  -0.34702,   0.012179, 18
   2.5317, -0.011842,    0.75846, 55
   1.4141,  -0.57493,     0.2964,  2
   2.6165,   0.34194,   -0.11214, 53
   1.9708,  -0.18113,    0.10654, 15
   2.3498, -0.041883,    0.28411, 44
