EC Numbers,Occurrence
EC 1.8.4.11,1
EC 3.4.23.36,1
EC 2.6.1.57,1
EC 4.3.3.7,1
EC 2.6.1.52,1
EC 1.1.1.95,2
EC 1.1.1.94,1
EC 1.4.1.1,1
EC 1.4.1.4,1
EC 3.1.3.-,1
EC 2.1.1.80,1
EC 2.5.1.19,1
EC 6.3.4.5,1
EC 6.3.4.4,1
EC 2.5.1.17,3
EC 2.5.1.10,1
EC 6.3.4.3,1
EC 1.4.3.5,2
EC 1.17.7.1,1
EC 2.7.1.76,1
EC 1.97.1.4,2
EC 1.8.4.12,1
EC 2.3.1.57,2
EC 2.3.1.54,2
EC 2.3.1.51,1
EC 3.6.1.31,1
EC 1.2.1.16,1
EC 1.2.1.10,1
EC 1.2.1.11,1
EC 1.2.1.12,1
EC 6.4.1.2,2
EC 6.4.1.1,1
EC 2.1.1.14,1
EC 2.4.2.22,1
EC 2.1.1.163,1
EC 1.-.-.-,4
EC 5.4.4.2,1
EC 1.1.1.79,1
EC 2.7.7.60,1
EC 2.7.7.62,1
EC 3.4.22.40,1
EC 3.5.1.88,1
EC 1.17.4.2,1
EC 2.7.1.2,1
EC 4.1.3.27,2
EC 3.5.1.87,1
EC 4.1.2.19,1
EC 4.2.99.20,1
EC 4.1.2.13,3
EC 3.5.99.6,4
EC 3.5.99.2,1
EC 6.1.1.21,1
EC 6.1.1.20,2
EC 6.1.1.22,1
EC 3.5.2.14,1
EC 3.5.1.16,1
EC 2.5.1.15,4
"EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15",1
EC 4.1.1.5,1
EC 3.5.1.19,1
EC 2.8.1.7,3
EC 1.2.1.2,1
EC 3.5.2.10,1
EC 6.3.4.2,1
EC 3.4.11.18,1
EC 3.6.3.32,2
EC 2.7.1.39,1
EC 3.5.3.12,2
EC 2.7.1.36,1
EC 2.7.1.30,1
EC 2.7.1.31,2
EC 2.7.1.33,2
EC 6.3.2.9,1
EC 4.1.3.-,1
EC 1.2.7.-,1
EC 3.2.1.96,1
EC 6.3.2.2,1
EC 6.3.2.1,1
EC 3.2.1.93,2
EC 6.3.2.4,1
EC 3.1.3.18,1
EC 3.1.3.11,1
EC 3.4.13.19,1
EC 3.1.3.15,1
EC 5.4.99.5,2
EC 2.7.9.2,1
EC 1.14.13.-,1
EC 2.5.1.61,1
EC 2.1.1.51,1
EC 2.1.1.52,1
EC 5.3.2.-,1
EC 2.6.1.11,1
EC 4.3.1.7,2
EC 2.7.1.83,1
EC 2.6.1.16,4
EC 1.1.1.205,3
EC 2.7.7.39,1
EC 4.2.1.24,1
EC 3.1.2.20,1
EC 4.2.1.20,2
EC 2.1.1.207,1
EC 1.3.1.76,1
EC 4.2.1.28,3
EC 6.3.1.10,1
EC 2.3.1.179,1
EC 1.1.1.34,1
EC 4.3.1.17,2
EC 1.1.1.38,1
EC 3.1.6.-,1
EC 2.6.1.85,3
EC 5.3.1.24,1
EC 4.2.1.51,1
EC 4.2.1.59,1
EC 2.4.2.7,1
EC 2.4.2.18,1
EC 2.4.2.19,1
EC 2.4.2.10,1
EC 2.4.2.11,1
EC 2.4.2.17,2
EC 2.4.2.14,1
EC 1.1.1.158,2
EC 2.1.1.-,11
EC 4.1.1.36,1
EC 4.1.1.37,1
EC 2.7.6.1,2
EC 3.1.2.6,1
EC 4.1.1.33,1
EC 5.4.2.10,2
EC 2.4.1.8,2
EC 2.4.1.7,3
EC 3.1.26.5,1
EC 2.6.1.42,1
EC 2.7.7.-,1
EC 1.1.1.86,1
EC 2.7.7.8,1
EC 2.7.7.9,1
EC 2.7.7.3,1
EC 2.7.7.6,5
EC 2.7.7.7,8
EC 6.2.1.26,1
EC 2.7.1.40,1
EC 2.1.3.2,1
EC 2.1.3.3,1
EC 2.7.1.48,1
EC 2.1.3.6,1
EC 2.6.1.-,1
EC 2.7.1.-,3
EC 3.6.4.12,1
EC 1.3.1.34,2
EC 2.7.1.4,2
EC 2.7.1.5,1
EC 1.2.1.27,1
EC 3.1.3.48,4
EC 1.17.1.8,1
EC 2.6.1.1,3
EC 1.4.3.16,1
EC 3.3.2.1,1
EC 2.7.3.9,1
EC 5.-.-.-,1
EC 2.7.3.-,7
EC 2.4.1.129,3
EC 1.4.1.13,11
EC 2.7.1.71,1
EC 3.1.26.8,1
EC 2.4.2.29,1
